Question,Topic
What are the differences between supervised and unsupervised learning?,General
How is logistic regression done?,General
Explain the steps in making a decision tree.,Data Science
How do you build a random forest model?,General
How can you avoid overfitting your model?,General
"Differentiate between univariate, bivariate, and multivariate analysis.",General
What are the feature selection methods used to select the right variables?,General
"In your choice of language, write a program that prints the numbers ranging from one to 50.",General
You are given a data set consisting of variables with more than 30 percent missing values. How will you deal with them?,General
"For the given points, how will you calculate the Euclidean distance in Python?",Python
What are dimensionality reduction and its benefits?,General
How will you calculate eigenvalues and eigenvectors of the following 3x3 matrix?,General
How should you maintain a deployed model?,Data Science
What are recommender systems?,General
How do you find RMSE and MSE in a linear regression model?,Mathematics and Statistics
How can you select k for k-means?Â,General
What is the significance of p-value?,General
How can outlier values be treated?,General
How can time-series data be declared as stationery?,General
How can you calculate accuracy using a confusion matrix?,General
Write the equation and calculate the precision and recall rate.,General
'People who bought this also boughtâ¦' recommendations seen on Amazon are a result of which algorithm?,General
Write a basic SQL query that lists all orders with customer information.,SQL
You are given a dataset on cancer detection. You have built a classification model and achieved an accuracy of 96 percent. Why shouldn't you be happy with your model performance? What can you do about it?,General
Which of the following machine learning algorithms can be used for inputting missing values of both categorical and continuous variables?,Data Science
Below are the eight actual values of the target variable in the train file. What is the entropy of the target variable?,Data Science
"We want to predict the probability of death from heart disease based on three risk factors: age, gender, and blood cholesterol level. What is the most appropriate algorithm for this case?",Mathematics and Statistics
"After studying the behavior of a population, you have identified four specific individual types that are valuable to your study. You would like to find all users who are most similar to each individual type. Which algorithm is most appropriate for this study?",General
"You have run the association rules algorithm on your dataset, and the two rules {banana, apple} => {grape} and {apple, orange} => {grape} have been found to be relevant. What else must be true?",General
Your organization has a website where visitors randomly receive one of two coupons. It is also possible that visitors to the website will not receive a coupon. You have been asked to determine if offering a coupon to website visitors has any impact on their purchase decisions. Which analysis method should you use?,General
What do you understand about true positive rate and false-positive rate?,General
What is the ROC curve?,General
What is a Confusion Matrix?,General
What do you understand about the true-positive rate and false-positive rate?,General
How is Data Science different from traditional application programming?,Data Science
What is the difference between the long format data and wide format data?,General
Mention some techniques used for sampling.Â,General
Why is Python used for Data Cleaning in DS?,Python
What are the popular libraries used in Data Science?,Data Science
What is variance in Data Science?,Data Science
What is pruning in a decision tree algorithm?,General
What is entropy in a decision tree algorithm?,General
What information is gained in a decision tree algorithm?,Data Science
What is k-fold cross-validation?,General
What is a normal distribution?,General
What is Deep Learning?,Data Science
What is an RNN (recurrent neural network)?,General
What are the feature vectors?,General
What are the steps in making a decision tree?,General
